Date,Instrument,Open Price,High Price,Low Price,Close Price,Adjusted_close,Volume,Company Market Cap,Average Number of Shares Outstanding,Book Value per Share,Common Shares - Outstanding - Total,EPS - Basic - excl Extraordinary Items - Normalized - Total,EPS - Diluted - excl Exord Items Applicable to Common Total,Income Available to Common Shares,Period End Date,Revenue from Business Activities - Total,Shares used to calculate Basic EPS - Total,T12M_Revenue,T12M_Net_Income,Announce_Date,Market_cap_calculado,Price_to_Sales,Price_to_Book,Price_to_Book_inverse,EPS_calculado,Price_to_Earnings
1998-01-02,GPN.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-05,GPN.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-06,GPN.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-07,GPN.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-08,GPN.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-09,GPN.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-12,GPN.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-13,GPN.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-14,GPN.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-15,GPN.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-16,GPN.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-20,GPN.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-21,GPN.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-22,GPN.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-23,GPN.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-26,GPN.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-27,GPN.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-28,GPN.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-29,GPN.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-30,GPN.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-02,GPN.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-03,GPN.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-04,GPN.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-05,GPN.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-06,GPN.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-09,GPN.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-10,GPN.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-11,GPN.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
