Date,Instrument,Open Price,High Price,Low Price,Close Price,Adjusted_close,Volume,Company Market Cap,Average Number of Shares Outstanding,Book Value per Share,Common Shares - Outstanding - Total,EPS - Basic - excl Extraordinary Items - Normalized - Total,EPS - Diluted - excl Exord Items Applicable to Common Total,Income Available to Common Shares,Period End Date,Revenue from Business Activities - Total,Shares used to calculate Basic EPS - Total,T12M_Revenue,T12M_Net_Income,Announce_Date,Market_cap_calculado,Price_to_Sales,Price_to_Book,Price_to_Book_inverse,EPS_calculado,Price_to_Earnings
1998-01-02,HPE.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-05,HPE.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-06,HPE.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-07,HPE.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-08,HPE.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-09,HPE.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-12,HPE.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-13,HPE.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-14,HPE.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-15,HPE.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-16,HPE.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-20,HPE.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-21,HPE.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-22,HPE.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-23,HPE.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-26,HPE.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-27,HPE.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-28,HPE.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-29,HPE.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-30,HPE.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-02,HPE.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-03,HPE.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-04,HPE.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-05,HPE.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-06,HPE.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-09,HPE.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-10,HPE.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-11,HPE.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-12,HPE.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-13,HPE.N,,,,,,0,,,,,,,,,,,,,,,,,,,
